SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
213,10778210,10779450,1240,28
214,10828810,10830043,1233,7
215,10879409,10880664,1255,22
216,10930009,10931221,1212,43
217,10980610,10981852,1242,30
218,11031210,11032428,1218,24
219,11081810,11083041,1231,13
220,11132409,11133638,1229,2
221,11183009,11184251,1242,13
222,11233611,11234822,1211,31
223,11284210,11285462,1252,41
224,11334810,11336035,1225,27
225,11385409,11386656,1247,22
226,11436009,11437245,1236,11
227,11486610,11487848,1238,2
228,11537211,11538436,1225,13
229,11587810,11589053,1243,18
230,11638409,11639635,1226,17
231,11689009,11690259,1250,24
232,11739610,11740818,1208,42
233,11790210,11791446,1236,28
234,11840811,11842040,1229,7
235,11891409,11892637,1228,1
236,11942009,11943225,1216,12
237,11992610,11993876,1266,50
238,12043210,12044428,1218,48
239,12093810,12095045,1235,17
240,12144409,12145650,1241,6
241,12195009,12196255,1246,5
242,12245610,12246830,1220,26
243,12296210,12297458,1248,28
244,12346810,12348044,1234,14
245,12397409,12398657,1248,14
246,12448009,12449249,1240,8
247,12498610,12499864,1254,14
248,12549210,12550444,1234,20
249,12599810,12601058,1248,14
250,12650409,12651663,1254,6
251,12701009,12702271,1262,8
252,12751610,12752838,1228,34
253,12802210,12803455,1245,17
254,12852811,12854036,1225,20
255,12903409,12904666,1257,32
256,12954009,12955258,1249,8
257,13004610,13005877,1267,18
258,13055210,13056425,1215,52
259,13105810,13107050,1240,25
260,13156409,13157648,1239,1
261,13207009,13208248,1239,0
262,13257610,13258835,1225,14
263,13308210,13309459,1249,24
264,13358810,13360037,1227,22
265,13409409,13410669,1260,33
266,13460009,13461242,1233,27
267,13510610,13511853,1243,10
268,13561211,13562433,1222,21
269,13611810,13613062,1252,30
270,13662409,13663627,1218,34
271,13713009,13714264,1255,37
272,13763610,13764847,1237,18
273,13814210,13815447,1237,0
274,13864811,13866029,1218,19
275,13915409,13916670,1261,43
276,13966009,13967250,1241,20
277,14016610,14017869,1259,18
278,14067210,14068425,1215,44
279,14117810,14119043,1233,18
280,14168409,14169672,1263,30
281,14219009,14220320,1311,48
282,14269610,14270827,1217,94
283,14320211,14321459,1248,31
284,14370810,14372041,1231,17
285,14421409,14422654,1245,14
286,14472009,14473227,1218,27
287,14522610,14523865,1255,37
288,14573210,14574429,1219,36
289,14623810,14625055,1245,26
290,14674409,14675632,1223,22
291,14725009,14726276,1267,44
292,14775611,14776831,1220,47
293,14826211,14827444,1233,13
294,14876810,14878029,1219,14
295,14927409,14928666,1257,38
296,14978009,14979271,1262,5
297,15028610,15029854,1244,18
298,15079210,15080482,1272,28
299,15129810,15131051,1241,31
300,15180409,15181628,1219,22
301,15231009,15232261,1252,33
302,15281610,15282824,1214,38
303,15332210,15333468,1258,44
304,15382810,15384038,1228,30
305,15433409,15434671,1262,34
306,15484009,15485231,1222,40
307,15534610,15535862,1252,30
308,15585211,15586442,1231,21
309,15635810,15637052,1242,11
310,15686409,15687641,1232,10
311,15737009,15738269,1260,28
312,15787610,15788836,1226,34
313,15838211,15839456,1245,19
314,15888810,15890026,1216,29
315,15939409,15940647,1238,22
316,15990009,15991255,1246,8
317,16040610,16041854,1244,2
318,16091210,16092454,1244,0
319,16141810,16143071,1261,17
320,16192409,16193633,1224,37
321,16243009,16244265,1256,32
322,16293610,16294836,1226,30
323,16344210,16345449,1239,13
324,16394811,16396078,1267,28
325,16445409,16446795,1386,119
326,16496009,16497256,1247,139
327,16546610,16547871,1261,14
328,16597210,16598439,1229,32
329,16647810,16649084,1274,45
330,16698409,16699637,1228,46
331,16749009,16750266,1257,29
332,16799611,16800829,1218,39
333,16850210,16851461,1251,33
